w_-3,w_-2,w_-1,w_0,w_1,w_2,w_3,cap_-3,cap_-2,cap_-1,cap_0,cap_1,cap_2,cap_3,label
<PAD>,<PAD>,<PAD>,the,dollar,finished,at,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,the,dollar,finished,at,its,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NN
<PAD>,the,dollar,finished,at,its,intraday,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
the,dollar,finished,at,its,intraday,highs,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
dollar,finished,at,its,intraday,highs,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,PRP$
finished,at,its,intraday,highs,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJ
at,its,intraday,highs,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
its,intraday,highs,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,and,while,the,defense,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,CC
<PAD>,<PAD>,and,while,the,defense,secretary,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,IN
<PAD>,and,while,the,defense,secretary,is,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,DT
and,while,the,defense,secretary,is,speaking,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
while,the,defense,secretary,is,speaking,out,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
the,defense,secretary,is,speaking,out,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,VBZ
defense,secretary,is,speaking,out,",",president,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,TITLE,VBG
secretary,is,speaking,out,",",president,bush,LOWER,LOWER,LOWER,LOWER,PUNCT,TITLE,TITLE,IN
is,speaking,out,",",president,bush,himself,LOWER,LOWER,LOWER,PUNCT,TITLE,TITLE,LOWER,","
speaking,out,",",president,bush,himself,has,LOWER,LOWER,PUNCT,TITLE,TITLE,LOWER,LOWER,NNP
out,",",president,bush,himself,has,n't,LOWER,PUNCT,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
",",president,bush,himself,has,n't,launched,PUNCT,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,PRP
president,bush,himself,has,n't,launched,any,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
bush,himself,has,n't,launched,any,high-visibility,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
himself,has,n't,launched,any,high-visibility,campaign,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
has,n't,launched,any,high-visibility,campaign,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
n't,launched,any,high-visibility,campaign,to,drum,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
launched,any,high-visibility,campaign,to,drum,up,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
any,high-visibility,campaign,to,drum,up,support,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
high-visibility,campaign,to,drum,up,support,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,VB
campaign,to,drum,up,support,",",as,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,IN
to,drum,up,support,",",as,president,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,TITLE,NN
drum,up,support,",",as,president,reagan,LOWER,LOWER,LOWER,PUNCT,LOWER,TITLE,TITLE,","
up,support,",",as,president,reagan,did,LOWER,LOWER,PUNCT,LOWER,TITLE,TITLE,LOWER,IN
support,",",as,president,reagan,did,.,LOWER,PUNCT,LOWER,TITLE,TITLE,LOWER,PUNCT,NNP
",",as,president,reagan,did,.,<PAD>,PUNCT,LOWER,TITLE,TITLE,LOWER,PUNCT,<PAD>,NNP
as,president,reagan,did,.,<PAD>,<PAD>,LOWER,TITLE,TITLE,LOWER,PUNCT,<PAD>,<PAD>,VBD
president,reagan,did,.,<PAD>,<PAD>,<PAD>,TITLE,TITLE,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,along,the,way,",",<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,IN
<PAD>,<PAD>,along,the,way,",",investors,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,LOWER,DT
<PAD>,along,the,way,",",investors,dumped,<PAD>,TITLE,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
along,the,way,",",investors,dumped,takeover,TITLE,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
the,way,",",investors,dumped,takeover,stocks,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,NNS
way,",",investors,dumped,takeover,stocks,and,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
",",investors,dumped,takeover,stocks,and,shares,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
investors,dumped,takeover,stocks,and,shares,of,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
dumped,takeover,stocks,and,shares,of,banks,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
takeover,stocks,and,shares,of,banks,that,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
stocks,and,shares,of,banks,that,have,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
and,shares,of,banks,that,have,leveraged-buy-out,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
shares,of,banks,that,have,leveraged-buy-out,debt,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,WDT
of,banks,that,have,leveraged-buy-out,debt,and,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBP
banks,that,have,leveraged-buy-out,debt,and,risky,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
that,have,leveraged-buy-out,debt,and,risky,real,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
have,leveraged-buy-out,debt,and,risky,real,estate,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
leveraged-buy-out,debt,and,risky,real,estate,loans,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
debt,and,risky,real,estate,loans,on,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
and,risky,real,estate,loans,on,their,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
risky,real,estate,loans,on,their,books,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
real,estate,loans,on,their,books,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
estate,loans,on,their,books,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,PRP$
loans,on,their,books,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
on,their,books,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,millions,of,refugees,would,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,NNS
<PAD>,<PAD>,millions,of,refugees,would,rush,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,IN
<PAD>,millions,of,refugees,would,rush,home,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
millions,of,refugees,would,rush,home,.,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MD
of,refugees,would,rush,home,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,VB
refugees,would,rush,home,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
would,rush,home,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,by,one,estimate,",",<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,IN
<PAD>,<PAD>,by,one,estimate,",",everyone,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,LOWER,CD
<PAD>,by,one,estimate,",",everyone,here,<PAD>,TITLE,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
by,one,estimate,",",everyone,here,under,TITLE,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
one,estimate,",",everyone,here,under,50,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,DIGIT,NN
estimate,",",everyone,here,under,50,owns,LOWER,PUNCT,LOWER,LOWER,LOWER,DIGIT,LOWER,RB
",",everyone,here,under,50,owns,at,PUNCT,LOWER,LOWER,LOWER,DIGIT,LOWER,LOWER,IN
everyone,here,under,50,owns,at,least,LOWER,LOWER,LOWER,DIGIT,LOWER,LOWER,LOWER,CD
here,under,50,owns,at,least,one,LOWER,LOWER,DIGIT,LOWER,LOWER,LOWER,LOWER,VBZ
under,50,owns,at,least,one,bike,LOWER,DIGIT,LOWER,LOWER,LOWER,LOWER,LOWER,IN
50,owns,at,least,one,bike,.,DIGIT,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJS
owns,at,least,one,bike,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,CD
at,least,one,bike,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
least,one,bike,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,the,campaign,so,divided,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,the,campaign,so,divided,union,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NN
<PAD>,the,campaign,so,divided,union,leaders,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,RB
the,campaign,so,divided,union,leaders,that,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
campaign,so,divided,union,leaders,that,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
so,divided,union,leaders,that,the,government,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
divided,union,leaders,that,the,government,found,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
union,leaders,that,the,government,found,them,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
leaders,that,the,government,found,them,far,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
that,the,government,found,them,far,easier,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
the,government,found,them,far,easier,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
government,found,them,far,easier,to,control,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
found,them,far,easier,to,control,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJR
them,far,easier,to,control,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,TO
far,easier,to,control,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,VB
easier,to,control,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,compaq,computer,gained,2,<PAD>,<PAD>,<PAD>,TITLE,TITLE,LOWER,DIGIT,NNP
